% Model:              doble_barrera_electric_Field.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 25 2025, 12:28
% Table:              Table 8 - Global Evaluation 2
% m                      B0                       E0                       h1                       Integration 1 (meV)
-1                       0                        100000                   100                      1.7190735573223157
-1                       0                        100000                   110                      1.6882608327568671
-1                       0                        100000                   120                      1.6505972165473062
-1                       0                        100000                   130                      1.6073504954256619
-1                       0                        100000                   140                      1.5584520467827523
-1                       0                        100000                   150                      1.5048976917509622
-1                       0                        100000                   160                      1.4493925473068054
-1                       0                        100000                   170                      1.3907876426870558
-1                       0                        100000                   180                      1.3329264490862252
-1                       0                        100000                   190                      1.2769949307063808
-1                       0                        100000                   200                      1.2229682734326353
-1                       5                        0                        2                        5.857589015032512
-1                       5                        0                        3                        5.636196345808683
-1                       5                        0                        4                        5.655114721690914
-1                       5                        0                        5                        5.492946562442647
-1                       5                        0                        6                        5.545994476816177
-1                       5                        0                        7                        5.509902848499384
-1                       5                        0                        8                        5.498439693322526
-1                       5                        0                        9                        5.520163383645266
-1                       5                        0                        10                       5.515648643911701
-1                       5                        0                        15                       5.524167257445711
-1                       5                        0                        20                       5.523459092796301
-1                       5                        0                        25                       5.526782900225406
-1                       5                        0                        30                       5.521823474919232
-1                       5                        0                        35                       5.509905616327512
-1                       5                        0                        40                       5.485262718626996
-1                       5                        0                        45                       5.446176309995837
-1                       5                        0                        50                       5.393423169912033
-1                       5                        0                        55                       5.317489293471537
-1                       5                        0                        60                       5.219294631385401
-1                       5                        0                        65                       5.100415909292526
-1                       5                        0                        70                       4.9522565784459145
-1                       5                        0                        75                       4.7826521781306015
-1                       5                        0                        80                       4.59734352871018
-1                       5                        0                        85                       4.396119415695154
-1                       5                        0                        90                       4.188358779206372
-1                       5                        0                        95                       3.9814976599089973
-1                       5                        0                        100                      3.7805942707987437
-1                       5                        0                        110                      3.4084377733412152
-1                       5                        0                        120                      3.0898196691574684
-1                       5                        0                        130                      2.8196728855117468
-1                       5                        0                        140                      2.5931115808149454
-1                       5                        0                        150                      2.3972287788172433
-1                       5                        0                        160                      2.231791249095653
-1                       5                        0                        170                      2.0847380246013643
-1                       5                        0                        180                      1.9558288527935666
-1                       5                        0                        190                      1.841443662116158
-1                       5                        0                        200                      1.7389610827132915
-1                       5                        1000                     2                        5.857589098878198
-1                       5                        1000                     3                        5.636196900891296
-1                       5                        1000                     4                        5.655116984899351
-1                       5                        1000                     5                        5.492950093482423
-1                       5                        1000                     6                        5.545994495061231
-1                       5                        1000                     7                        5.509902845366558
-1                       5                        1000                     8                        5.498439689151722
-1                       5                        1000                     9                        5.520163379218276
-1                       5                        1000                     10                       5.515648638927994
-1                       5                        1000                     15                       5.524164552614233
-1                       5                        1000                     20                       5.5234595535921756
-1                       5                        1000                     25                       5.526785343878651
-1                       5                        1000                     30                       5.521825184609742
-1                       5                        1000                     35                       5.509910496582233
-1                       5                        1000                     40                       5.485270853627336
-1                       5                        1000                     45                       5.44619983744174
-1                       5                        1000                     50                       5.393438234496981
-1                       5                        1000                     55                       5.317527925514382
-1                       5                        1000                     60                       5.219260898934054
-1                       5                        1000                     65                       5.1003930080304825
-1                       5                        1000                     70                       4.952210524220033
-1                       5                        1000                     75                       4.78231117765433
-1                       5                        1000                     80                       4.596886264793637
-1                       5                        1000                     85                       4.395257600209291
-1                       5                        1000                     90                       4.186827780073241
-1                       5                        1000                     95                       3.97851822286187
-1                       5                        1000                     100                      3.775460640106244
-1                       5                        1000                     110                      3.396665068991945
-1                       5                        1000                     120                      3.0667692149757975
-1                       5                        1000                     130                      2.7920053684099386
-1                       5                        1000                     140                      2.5653375734638617
-1                       5                        1000                     150                      2.3752465045856375
-1                       5                        1000                     160                      2.2142260437572014
-1                       5                        1000                     170                      2.071224887230735
-1                       5                        1000                     180                      1.9421903656074262
-1                       5                        1000                     190                      1.8301504493374872
-1                       5                        1000                     200                      1.7290781933099035
-1                       5                        10000                    2                        5.8575898695700275
-1                       5                        10000                    3                        5.636201904219032
-1                       5                        10000                    4                        5.655137360338917
-1                       5                        10000                    5                        5.492981882571354
-1                       5                        10000                    6                        5.545994619695567
-1                       5                        10000                    7                        5.509902821190752
-1                       5                        10000                    8                        5.498439655509357
-1                       5                        10000                    9                        5.520163318527397
-1                       5                        10000                    10                       5.515648555030769
-1                       5                        10000                    15                       5.524140261257542
-1                       5                        10000                    20                       5.523464046166571
-1                       5                        10000                    25                       5.526807833774558
-1                       5                        10000                    30                       5.5218431193867925
-1                       5                        10000                    35                       5.509954183574915
-1                       5                        10000                    40                       5.485329223505077
-1                       5                        10000                    45                       5.446342498063423
-1                       5                        10000                    50                       5.393311928189275
-1                       5                        10000                    55                       5.317119204104501
-1                       5                        10000                    60                       5.216994455627422
-1                       5                        10000                    65                       5.0955110827033145
-1                       5                        10000                    70                       4.941618935553487
-1                       5                        10000                    75                       4.758908266839788
-1                       5                        10000                    80                       4.555531958788937
-1                       5                        10000                    85                       4.327530637512776
-1                       5                        10000                    90                       4.090107532925634
-1                       5                        10000                    95                       3.8574575485202387
-1                       5                        10000                    100                      3.642292861940498
-1                       5                        10000                    110                      3.2743852583142457
-1                       5                        10000                    120                      2.972548790457606
-1                       5                        10000                    130                      2.7219851785771136
-1                       5                        10000                    140                      2.50682051172347
-1                       5                        10000                    150                      2.320459328979113
-1                       5                        10000                    160                      2.159698100802707
-1                       5                        10000                    170                      2.015833038599354
-1                       5                        10000                    180                      1.8855682815643249
-1                       5                        10000                    190                      1.7719918275239448
-1                       5                        10000                    200                      1.6694248290932197
-1                       5                        100000                   2                        5.8575991684694655
-1                       5                        100000                   3                        5.6362526883015
-1                       5                        100000                   4                        5.655341764216039
-1                       5                        100000                   5                        5.493300736613245
-1                       5                        100000                   6                        5.5459919485187665
-1                       5                        100000                   7                        5.509902977410391
-1                       5                        100000                   8                        5.498439704696381
-1                       5                        100000                   9                        5.52016064769983
-1                       5                        100000                   10                       5.515643850788268
-1                       5                        100000                   15                       5.523902513936949
-1                       5                        100000                   20                       5.523543138275257
-1                       5                        100000                   25                       5.527081621092302
-1                       5                        100000                   30                       5.5222727654421275
-1                       5                        100000                   35                       5.510360669920641
-1                       5                        100000                   40                       5.484448851931552
-1                       5                        100000                   45                       5.441200978118309
-1                       5                        100000                   50                       5.369227579629766
-1                       5                        100000                   55                       5.256328673021208
