lambh	lambe	m	B0	E0	h1	Integration 1 (meV)
2	2	-1	0	-10000000	0.1	5.771487397077265
2	2	-1	0	-10000000	0.30000000000000004	5.803673199155069
2	2	-1	0	-10000000	0.5	5.855192159114596
2	2	-1	0	-10000000	0.7000000000000001	5.936730310060308
2	2	-1	0	-10000000	0.9	6.053188065533926
2	2	-1	0	-10000000	1.1	6.172211044232987
2	2	-1	0	-10000000	1.3000000000000003	6.233603821489633
2	2	-1	0	-10000000	1.5000000000000002	6.236811689364926
2	2	-1	0	-10000000	1.7000000000000002	6.216401023790304
2	2	-1	0	-10000000	1.9000000000000001	6.19113443081474
2	2	-1	0	-10000000	2.1	6.167049662088864
2	2	-1	0	-10000000	2.3000000000000003	6.145656714878912
2	2	-1	0	-10000000	2.5000000000000004	6.12706824572658
2	2	-1	0	-10000000	2.7	6.11101171897781
2	2	-1	0	-10000000	2.9000000000000004	6.097093931785424
2	2	-1	0	-10000000	3.1	6.084917857487957
2	2	-1	0	-10000000	3.3000000000000003	6.074114849756136
2	2	-1	0	-10000000	3.5000000000000004	6.064350302843855
2	2	-1	0	-10000000	3.7	6.055330287941884
2	2	-1	0	-10000000	3.9000000000000004	6.046790910570572
2	2	-1	0	-10000000	4.5	6.021925817592844
2	2	-1	0	-10000000	5	5.999666704081481
2	2	-1	0	-10000000	5.5	5.974213327053386
2	2	-1	0	-10000000	6	5.9446850597725325
2	2	-1	0	-10000000	6.5	5.910816980341093
2	2	-1	0	-10000000	7	5.872878166915531
2	2	-1	0	-10000000	7.5	5.8316134501862065
2	2	-1	0	-10000000	8	5.788108562208856
2	2	-1	0	-10000000	8.5	5.743491793349175
2	2	-1	0	-10000000	9	5.698561755196482
2	2	-1	0	-10000000	9.5	5.653574957004657
2	2	-1	0	-10000000	10	5.608318152863892
2	2	-1	0	-10000000	10.5	5.5623321834000805
2	2	-1	0	-10000000	11	5.515123985261218
2	2	-1	0	-10000000	11.5	5.466270543162317
2	2	-1	0	-10000000	12	5.415505654059675
2	2	-1	0	-5000000	0.1	6.335278482339476
2	2	-1	0	-5000000	0.30000000000000004	6.356613743398859
2	2	-1	0	-5000000	0.5	6.35909792870556
2	2	-1	0	-5000000	0.7000000000000001	6.3429331546898595
2	2	-1	0	-5000000	0.9	6.313672209742703
2	2	-1	0	-5000000	1.1	6.277946161592857
2	2	-1	0	-5000000	1.3000000000000003	6.240673751942071
2	2	-1	0	-5000000	1.5000000000000002	6.204809648132912
2	2	-1	0	-5000000	1.7000000000000002	6.171793077875514
2	2	-1	0	-5000000	1.9000000000000001	6.142201360023495
2	2	-1	0	-5000000	2.1	6.116117070559381
2	2	-1	0	-5000000	2.3000000000000003	6.093409909523156
2	2	-1	0	-5000000	2.5000000000000004	6.073837911700807
2	2	-1	0	-5000000	2.7	6.057069395344939
2	2	-1	0	-5000000	2.9000000000000004	6.04278831950124
2	2	-1	0	-5000000	3.1	6.030678466523541
2	2	-1	0	-5000000	3.3000000000000003	6.0204413211730685
2	2	-1	0	-5000000	3.5000000000000004	6.0118035514968575
2	2	-1	0	-5000000	3.7	6.004514689319924
2	2	-1	0	-5000000	3.9000000000000004	5.998347632033754
2	2	-1	0	-5000000	4.5	5.984617051500407
2	2	-1	0	-5000000	5	5.976016442068469
2	2	-1	0	-5000000	5.5	5.9674582596214085
2	2	-1	0	-5000000	6	5.956867219387164
2	2	-1	0	-5000000	6.5	5.94248297749859
2	2	-1	0	-5000000	7	5.92298601108757
2	2	-1	0	-5000000	7.5	5.89772515983778
2	2	-1	0	-5000000	8	5.866965291087392
2	2	-1	0	-5000000	8.5	5.831934424108386
2	2	-1	0	-5000000	9	5.794426969794027
2	2	-1	0	-5000000	9.5	5.756071964658909
2	2	-1	0	-5000000	10	5.717823349055337
2	2	-1	0	-5000000	10.5	5.6799301104741104
2	2	-1	0	-5000000	11	5.642194883687037
2	2	-1	0	-5000000	11.5	5.604234081284462
2	2	-1	0	-5000000	12	5.565641224379907
2	2	-1	0	0	0.1	6.365594941321323
2	2	-1	0	0	0.30000000000000004	6.345310079412907
2	2	-1	0	0	0.5	6.31886050691968
2	2	-1	0	0	0.7000000000000001	6.287359361061574
2	2	-1	0	0	0.9	6.252384204509605
2	2	-1	0	0	1.1	6.2155889877918655
2	2	-1	0	0	1.3000000000000003	6.178458156830209
2	2	-1	0	0	1.5000000000000002	6.142184732222538
2	2	-1	0	0	1.7000000000000002	6.10758286541131
2	2	-1	0	0	1.9000000000000001	6.075201883134543
2	2	-1	0	0	2.1	6.045221583486738
2	2	-1	0	0	2.3000000000000003	6.017787305698521
2	2	-1	0	0	2.5000000000000004	5.992723387057999
2	2	-1	0	0	2.7	5.969891616231114
2	2	-1	0	0	2.9000000000000004	5.94916483494806
2	2	-1	0	0	3.1	5.930321806028484
2	2	-1	0	0	3.3000000000000003	5.913123947676404
2	2	-1	0	0	3.5000000000000004	5.897392133332806
2	2	-1	0	0	3.7	5.88296224488278
2	2	-1	0	0	3.9000000000000004	5.869682809409772
2	2	-1	0	0	4.5	5.835596035715791
2	2	-1	0	0	5	5.812288931130386
2	2	-1	0	0	5.5	5.792413586400087
2	2	-1	0	0	6	5.775272820824074
2	2	-1	0	0	6.5	5.760363955138331
2	2	-1	0	0	7	5.747331919538867
2	2	-1	0	0	7.5	5.735963967992847
2	2	-1	0	0	8	5.726084124638915
2	2	-1	0	0	8.5	5.71758464925837
2	2	-1	0	0	9	5.710393218164802
2	2	-1	0	0	9.5	5.704442879372411
2	2	-1	0	0	10	5.699673351698027
2	2	-1	0	0	10.5	5.696006266060132
2	2	-1	0	0	11	5.693349871589935
2	2	-1	0	0	11.5	5.691564617605833
2	2	-1	0	0	12	5.690478245845442
2	2	-1	0	5000000	0.1	6.138643068087996
2	2	-1	0	5000000	0.30000000000000004	6.1693802927661245
2	2	-1	0	5000000	0.5	6.1809036906488055
2	2	-1	0	5000000	0.7000000000000001	6.1761622436507855
2	2	-1	0	5000000	0.9	6.159216703846471
2	2	-1	0	5000000	1.1	6.134070967612338
2	2	-1	0	5000000	1.3000000000000003	6.103855937263327
2	2	-1	0	5000000	1.5000000000000002	6.070977850950319
2	2	-1	0	5000000	1.7000000000000002	6.0372036276244465
2	2	-1	0	5000000	1.9000000000000001	6.0035370333480325
2	2	-1	0	5000000	2.1	5.970803456597356
2	2	-1	0	5000000	2.3000000000000003	5.9393588362759875
2	2	-1	0	5000000	2.5000000000000004	5.909355179137536
2	2	-1	0	5000000	2.7	5.88078419806146
2	2	-1	0	5000000	2.9000000000000004	5.853805220196098
2	2	-1	0	5000000	3.1	5.828399184128067
2	2	-1	0	5000000	3.3000000000000003	5.804538281562382
2	2	-1	0	5000000	3.5000000000000004	5.7819072015106965
2	2	-1	0	5000000	3.7	5.760535127050733
2	2	-1	0	5000000	3.9000000000000004	5.7402876904658005
2	2	-1	0	5000000	4.5	5.685269833082515
2	2	-1	0	5000000	5	5.644475287742172
2	2	-1	0	5000000	5.5	5.606732652647402
2	2	-1	0	5000000	6	5.570844321282901
2	2	-1	0	5000000	6.5	5.535892984638732
2	2	-1	0	5000000	7	5.5011343043398595
2	2	-1	0	5000000	7.5	5.465928340467353
2	2	-1	0	5000000	8	5.429843900608566
2	2	-1	0	5000000	8.5	5.392513797758716
2	2	-1	0	5000000	9	5.35364158862787
2	2	-1	0	5000000	9.5	5.312987472221814
2	2	-1	0	5000000	10	5.270360800748174
2	2	-1	0	5000000	10.5	5.225618420133655
2	2	-1	0	5000000	11	5.178754399293663
2	2	-1	0	5000000	11.5	5.129467170604022
2	2	-1	0	5000000	12	5.078037814066717
2	2	-1	0	10000000	0.1	5.5276742676453985
2	2	-1	0	10000000	0.30000000000000004	5.630778848151034
2	2	-1	0	10000000	0.5	5.758485622250008
2	2	-1	0	10000000	0.7000000000000001	5.879168779569137
2	2	-1	0	10000000	0.9	5.959255688247206
2	2	-1	0	10000000	1.1	5.993622166089099
2	2	-1	0	10000000	1.3000000000000003	5.99637470993212
2	2	-1	0	10000000	1.5000000000000002	5.981573810092697
2	2	-1	0	10000000	1.7000000000000002	5.958048479923417
2	2	-1	0	10000000	1.9000000000000001	5.930620170487272
2	2	-1	0	10000000	2.1	5.901868491028056
2	2	-1	0	10000000	2.3000000000000003	5.873175648588918
2	2	-1	0	10000000	2.5000000000000004	5.845290408191194
2	2	-1	0	10000000	2.7	5.818572683596937
2	2	-1	0	10000000	2.9000000000000004	5.793289406137444
2	2	-1	0	10000000	3.1	5.76943658100745
2	2	-1	0	10000000	3.3000000000000003	5.747019330599549
2	2	-1	0	10000000	3.5000000000000004	5.726057789464925
2	2	-1	0	10000000	3.7	5.706424032239918
2	2	-1	0	10000000	3.9000000000000004	5.6880616230131436
2	2	-1	0	10000000	4.5	5.639831846278396
2	2	-1	0	10000000	5	5.606554463382543
2	2	-1	0	10000000	5.5	5.5788383296695105
2	2	-1	0	10000000	6	5.556029333149297
2	2	-1	0	10000000	6.5	5.536366267350447
2	2	-1	0	10000000	7	5.514394062594426
2	2	-1	0	10000000	7.5	5.47597678269096
2	2	-1	0	10000000	8	5.392316754765524
2	2	-1	0	10000000	8.5	5.234013049724928
2	2	-1	0	10000000	9	5.036125098321605
2	2	-1	0	10000000	9.5	4.870662443236287
2	2	-1	0	10000000	10	4.746951899031524
2	2	-1	0	10000000	10.5	4.647481730734714
2	2	-1	0	10000000	11	4.560423077329969
2	2	-1	0	10000000	11.5	4.480072064891856
2	2	-1	0	10000000	12	4.403855154253346
2	2	-1	5	-10000000	0.1	5.520580628104043
2	2	-1	5	-10000000	0.30000000000000004	5.5683691020194575
2	2	-1	5	-10000000	0.5	5.6455030772177
2	2	-1	5	-10000000	0.7000000000000001	5.773009363445121
2	2	-1	5	-10000000	0.9	5.975647064537027
2	2	-1	5	-10000000	1.1	6.227556894361334
2	2	-1	5	-10000000	1.3000000000000003	6.409448750261816
2	2	-1	5	-10000000	1.5000000000000002	6.476676574345465
2	2	-1	5	-10000000	1.7000000000000002	6.484541856107779
2	2	-1	5	-10000000	1.9000000000000001	6.472773360766982
2	2	-1	5	-10000000	2.1	6.456098088402233
2	2	-1	5	-10000000	2.3000000000000003	6.439323190596693
2	2	-1	5	-10000000	2.5000000000000004	6.423841564235697
2	2	-1	5	-10000000	2.7	6.409912974761418
2	2	-1	5	-10000000	2.9000000000000004	6.397426611583652
2	2	-1	5	-10000000	3.1	6.38611662021854
