lambh	lambe	m	B0	E0	h1	Integration 1 (meV)
2	1	-1	0	5000000	5.5	3.984225176605404
2	1	-1	0	5000000	6	3.9714706559475865
2	1	-1	0	5000000	6.5	3.9595015266424913
2	1	-1	0	5000000	7	3.9479255551340056
2	1	-1	0	5000000	7.5	3.9364410219718717
2	1	-1	0	5000000	8	3.9248121215099196
2	1	-1	0	5000000	8.5	3.912849428536298
2	1	-1	0	5000000	9	3.9003963993806927
2	1	-1	0	5000000	9.5	3.8873201698693185
2	1	-1	0	5000000	10	3.873505960756061
2	1	-1	0	5000000	10.5	3.8588543362864494
2	1	-1	0	5000000	11	3.843280549748697
2	1	-1	0	5000000	11.5	3.8267157694191005
2	1	-1	0	5000000	12	3.80910805790366
2	1	-1	0	10000000	0.1	4.146858131364481
2	1	-1	0	10000000	0.30000000000000004	4.172709770613917
2	1	-1	0	10000000	0.5	4.2022679728750445
2	1	-1	0	10000000	0.7000000000000001	4.226144724679974
2	1	-1	0	10000000	0.9	4.236369504371142
2	1	-1	0	10000000	1.1	4.2332817796700395
2	1	-1	0	10000000	1.3000000000000003	4.221681120840142
2	1	-1	0	10000000	1.5000000000000002	4.205792442457377
2	1	-1	0	10000000	1.7000000000000002	4.188185597207325
2	1	-1	0	10000000	1.9000000000000001	4.170262057800851
2	1	-1	0	10000000	2.1	4.152765329440238
2	1	-1	0	10000000	2.3000000000000003	4.136083205705455
2	1	-1	0	10000000	2.5000000000000004	4.120408128185095
2	1	-1	0	10000000	2.7	4.105822095635444
2	1	-1	0	10000000	2.9000000000000004	4.092341373996663
2	1	-1	0	10000000	3.1	4.079943931367965
2	1	-1	0	10000000	3.3000000000000003	4.068582705264654
2	1	-1	0	10000000	3.5000000000000004	4.0581956525807215
2	1	-1	0	10000000	3.7	4.048713594834193
2	1	-1	0	10000000	3.9000000000000004	4.040064219231793
2	1	-1	0	10000000	4.5	4.018426668421184
2	1	-1	0	10000000	5	4.004485536914512
2	1	-1	0	10000000	5.5	3.9936102547627366
2	1	-1	0	10000000	6	3.9854872743693726
2	1	-1	0	10000000	6.5	3.9799197071059873
2	1	-1	0	10000000	7	3.976451214470275
2	1	-1	0	10000000	7.5	3.9736793077182226
2	1	-1	0	10000000	8	3.968230065080878
2	1	-1	0	10000000	8.5	3.954546330565283
2	1	-1	0	10000000	9	3.9302953503037164
2	1	-1	0	10000000	9.5	3.9004161170438683
2	1	-1	0	10000000	10	3.8688410339083306
2	1	-1	0	10000000	10.5	3.836400793574888
2	1	-1	0	10000000	11	3.803107288138795
2	1	-1	0	10000000	11.5	3.7689433418254383
2	1	-1	0	10000000	12	3.7339636718819937
2	1	-1	5	-10000000	0.1	6.121523265442393
2	1	-1	5	-10000000	0.30000000000000004	6.130942766761666
2	1	-1	5	-10000000	0.5	6.146223531917236
2	1	-1	5	-10000000	0.7000000000000001	6.167381397826263
2	1	-1	5	-10000000	0.9	6.185529092774848
2	1	-1	5	-10000000	1.1	6.176121825962771
2	1	-1	5	-10000000	1.3000000000000003	6.130137963675294
2	1	-1	5	-10000000	1.5000000000000002	6.07217491018075
2	1	-1	5	-10000000	1.7000000000000002	6.019398025608072
2	1	-1	5	-10000000	1.9000000000000001	5.9747779811893
2	1	-1	5	-10000000	2.1	5.937319662693865
2	1	-1	5	-10000000	2.3000000000000003	5.905717090510029
2	1	-1	5	-10000000	2.5000000000000004	5.87890774655535
2	1	-1	5	-10000000	2.7	5.856051833547683
2	1	-1	5	-10000000	2.9000000000000004	5.836465355875959
2	1	-1	5	-10000000	3.1	5.819574981416806
2	1	-1	5	-10000000	3.3000000000000003	5.804891033188974
2	1	-1	5	-10000000	3.5000000000000004	5.791990645511374
2	1	-1	5	-10000000	3.7	5.7805063006504565
2	1	-1	5	-10000000	3.9000000000000004	5.770117752221911
2	1	-1	5	-10000000	4.5	5.742911632877242
2	1	-1	5	-10000000	5	5.721772268842355
2	1	-1	5	-10000000	5.5	5.6996317501928155
2	1	-1	5	-10000000	6	5.675094256094224
2	1	-1	5	-10000000	6.5	5.647429789951257
2	1	-1	5	-10000000	7	5.616523942250402
2	1	-1	5	-10000000	7.5	5.58286616221694
2	1	-1	5	-10000000	8	5.547442968667505
2	1	-1	5	-10000000	8.5	5.511417246630296
2	1	-1	5	-10000000	9	5.475697963502049
2	1	-1	5	-10000000	9.5	5.440659184256655
2	1	-1	5	-10000000	10	5.406170209700376
2	1	-1	5	-10000000	10.5	5.3718091155248056
2	1	-1	5	-10000000	11	5.337075537611409
2	1	-1	5	-10000000	11.5	5.301519496625254
2	1	-1	5	-10000000	12	5.264793856574622
2	1	-1	5	-5000000	0.1	6.351497802037476
2	1	-1	5	-5000000	0.30000000000000004	6.321202680989215
2	1	-1	5	-5000000	0.5	6.2772436109037315
2	1	-1	5	-5000000	0.7000000000000001	6.223759868881716
2	1	-1	5	-5000000	0.9	6.166367339327958
2	1	-1	5	-5000000	1.1	6.1095546919266
2	1	-1	5	-5000000	1.3000000000000003	6.055950148266376
2	1	-1	5	-5000000	1.5000000000000002	6.0067957991071514
2	1	-1	5	-5000000	1.7000000000000002	5.9625441457296
2	1	-1	5	-5000000	1.9000000000000001	5.92322837782645
2	1	-1	5	-5000000	2.1	5.888648820462276
2	1	-1	5	-5000000	2.3000000000000003	5.858480240929015
2	1	-1	5	-5000000	2.5000000000000004	5.83233244427445
2	1	-1	5	-5000000	2.7	5.809791308087325
2	1	-1	5	-5000000	2.9000000000000004	5.790446029650149
2	1	-1	5	-5000000	3.1	5.7739052746042345
2	1	-1	5	-5000000	3.3000000000000003	5.759806139197852
2	1	-1	5	-5000000	3.5000000000000004	5.747817563089619
2	1	-1	5	-5000000	3.7	5.73764008918343
2	1	-1	5	-5000000	3.9000000000000004	5.729003585057719
2	1	-1	5	-5000000	4.5	5.710007581453963
2	1	-1	5	-5000000	5	5.699142597755675
2	1	-1	5	-5000000	5.5	5.68996363957449
2	1	-1	5	-5000000	6	5.680184521335827
2	1	-1	5	-5000000	6.5	5.6678361870822735
2	1	-1	5	-5000000	7	5.651392566339743
2	1	-1	5	-5000000	7.5	5.630034357568122
2	1	-1	5	-5000000	8	5.603948205489929
2	1	-1	5	-5000000	8.5	5.574376494055745
2	1	-1	5	-5000000	9	5.5431453520733385
2	1	-1	5	-5000000	9.5	5.511874803837003
2	1	-1	5	-5000000	10	5.481461505666881
2	1	-1	5	-5000000	10.5	5.452084981584774
2	1	-1	5	-5000000	11	5.423491065180731
2	1	-1	5	-5000000	11.5	5.395260836856136
2	1	-1	5	-5000000	12	5.366965013768859
2	1	-1	5	0	0.1	6.285663328885195
2	1	-1	5	0	0.30000000000000004	6.2460549433524015
2	1	-1	5	0	0.5	6.201580337667089
2	1	-1	5	0	0.7000000000000001	6.153562519337929
2	1	-1	5	0	0.9	6.103543697791111
2	1	-1	5	0	1.1	6.053105782816393
2	1	-1	5	0	1.3000000000000003	6.003675364973947
2	1	-1	5	0	1.5000000000000002	5.956385280299088
2	1	-1	5	0	1.7000000000000002	5.912018855680994
2	1	-1	5	0	1.9000000000000001	5.871027615099163
2	1	-1	5	0	2.1	5.833586857955696
2	1	-1	5	0	2.3000000000000003	5.79966421455048
2	1	-1	5	0	2.5000000000000004	5.769091458630118
2	1	-1	5	0	2.7	5.74162064798925
2	1	-1	5	0	2.9000000000000004	5.7169665831673715
2	1	-1	5	0	3.1	5.694835876251204
2	1	-1	5	0	3.3000000000000003	5.674945221239779
2	1	-1	5	0	3.5000000000000004	5.657031540261993
2	1	-1	5	0	3.7	5.640856873727069
2	1	-1	5	0	3.9000000000000004	5.6262096871984015
2	1	-1	5	0	4.5	5.589692619883562
2	1	-1	5	0	5	5.565771692231902
2	1	-1	5	0	5.5	5.546158527092064
2	1	-1	5	0	6	5.529835775843213
2	1	-1	5	0	6.5	5.5161017930865075
2	1	-1	5	0	7	5.504470142672814
2	1	-1	5	0	7.5	5.494602107704778
2	1	-1	5	0	8	5.486259801501159
2	1	-1	5	0	8.5	5.479274056879833
2	1	-1	5	0	9	5.473522015978941
2	1	-1	5	0	9.5	5.468904614825053
2	1	-1	5	0	10	5.465338051172654
2	1	-1	5	0	10.5	5.462736292815565
2	1	-1	5	0	11	5.461001422313309
2	1	-1	5	0	11.5	5.460016815295063
2	1	-1	5	0	12	5.459643571414878
2	1	-1	5	5000000	0.1	6.1249047540153665
2	1	-1	5	5000000	0.30000000000000004	6.125214962661871
2	1	-1	5	5000000	0.5	6.109925150791139
2	1	-1	5	5000000	0.7000000000000001	6.082070484868227
2	1	-1	5	5000000	0.9	6.045261540007375
2	1	-1	5	5000000	1.1	6.002897594046897
2	1	-1	5	5000000	1.3000000000000003	5.957789285091718
2	1	-1	5	5000000	1.5000000000000002	5.912061398095555
2	1	-1	5	5000000	1.7000000000000002	5.867201518141001
2	1	-1	5	5000000	1.9000000000000001	5.824168031736606
2	1	-1	5	5000000	2.1	5.783512240271562
2	1	-1	5	5000000	2.3000000000000003	5.745496595752726
2	1	-1	5	5000000	2.5000000000000004	5.710188194510744
2	1	-1	5	5000000	2.7	5.677530918339856
2	1	-1	5	5000000	2.9000000000000004	5.647395794365955
2	1	-1	5	5000000	3.1	5.6196143281609245
2	1	-1	5	5000000	3.3000000000000003	5.593999593240183
2	1	-1	5	5000000	3.5000000000000004	5.570359107921914
2	1	-1	5	5000000	3.7	5.548502597985238
2	1	-1	5	5000000	3.9000000000000004	5.528246168177243
2	1	-1	5	5000000	4.5	5.475389142899382
2	1	-1	5	5000000	5	5.438215412201612
2	1	-1	5	5000000	5.5	5.405277665185874
2	1	-1	5	5000000	6	5.375126366066299
2	1	-1	5	5000000	6.5	5.346653650850265
2	1	-1	5	5000000	7	5.319017173751857
2	1	-1	5	5000000	7.5	5.291572981431807
2	1	-1	5	5000000	8	5.263822247451664
2	1	-1	5	5000000	8.5	5.235371231501679
2	1	-1	5	5000000	9	5.205902918308045
2	1	-1	5	5000000	9.5	5.1751582897860695
2	1	-1	5	5000000	10	5.142925387549246
2	1	-1	5	5000000	10.5	5.1090343983070206
2	1	-1	5	5000000	11	5.073357375953281
2	1	-1	5	5000000	11.5	5.035808552201006
2	1	-1	5	5000000	12	4.996350465741301
2	1	-1	5	10000000	0.1	5.722235668866367
2	1	-1	5	10000000	0.30000000000000004	5.786415472356852
2	1	-1	5	10000000	0.5	5.859039845681131
2	1	-1	5	10000000	0.7000000000000001	5.916747351616281
2	1	-1	5	10000000	0.9	5.940955967126462
2	1	-1	5	10000000	1.1	5.9338072581569214
2	1	-1	5	10000000	1.3000000000000003	5.907344292445769
2	1	-1	5	10000000	1.5000000000000002	5.871501223578704
2	1	-1	5	10000000	1.7000000000000002	5.832106165675591
2	1	-1	5	10000000	1.9000000000000001	5.792252406420064
2	1	-1	5	10000000	2.1	5.75354528079465
2	1	-1	5	10000000	2.3000000000000003	5.716792894317922
2	1	-1	5	10000000	2.5000000000000004	5.682370594713326
2	1	-1	5	10000000	2.7	5.650409538778322
2	1	-1	5	10000000	2.9000000000000004	5.62090746085083
2	1	-1	5	10000000	3.1	5.593772811173046
2	1	-1	5	10000000	3.3000000000000003	5.568876328462894
2	1	-1	5	10000000	3.5000000000000004	5.546062010852422
2	1	-1	5	10000000	3.7	5.525165224751175
2	1	-1	5	10000000	3.9000000000000004	5.50602241806052
2	1	-1	5	10000000	4.5	5.45763352384434
2	1	-1	5	10000000	5	5.425894188931287
2	1	-1	5	10000000	5.5	5.400595873847054
2	1	-1	5	10000000	6	5.380909391326402
2	1	-1	5	10000000	6.5	5.365730631999673
2	1	-1	5	10000000	7	5.352151090819156
2	1	-1	5	10000000	7.5	5.332572456319388
2	1	-1	5	10000000	8	5.290734287095609
2	1	-1	5	10000000	8.5	5.20542191714733
2	1	-1	5	10000000	9	5.08511404094351
2	1	-1	5	10000000	9.5	4.971991851605747
2	1	-1	5	10000000	10	4.879743336879627
2	1	-1	5	10000000	10.5	4.800787450254249
2	1	-1	5	10000000	11	4.7284956299786645
2	1	-1	5	10000000	11.5	4.65957697607439
2	1	-1	5	10000000	12	4.592568444524371
2	1	-1	10	-10000000	0.1	8.101464471981311
2	1	-1	10	-10000000	0.30000000000000004	8.16825859106609
2	1	-1	10	-10000000	0.5	8.27573099934068
2	1	-1	10	-10000000	0.7000000000000001	8.451627183766023
2	1	-1	10	-10000000	0.9	8.723711432720956
2	1	-1	10	-10000000	1.1	9.044347110424763
2	1	-1	10	-10000000	1.3000000000000003	9.256175269329816
2	1	-1	10	-10000000	1.5000000000000002	9.315801198807517
2	1	-1	10	-10000000	1.7000000000000002	9.300876676483258
2	1	-1	10	-10000000	1.9000000000000001	9.263834330955437
2	1	-1	10	-10000000	2.1	9.223580584811158
2	1	-1	10	-10000000	2.3000000000000003	9.185821304940152
2	1	-1	10	-10000000	2.5000000000000004	9.151950022263291
2	1	-1	10	-10000000	2.7	9.1219534470908
2	1	-1	10	-10000000	2.9000000000000004	9.095360689512267
2	1	-1	10	-10000000	3.1	9.07157331406747
2	1	-1	10	-10000000	3.3000000000000003	9.04998738471353
2	1	-1	10	-10000000	3.5000000000000004	9.030039618960041
2	1	-1	10	-10000000	3.7	9.011223740914895
2	1	-1	10	-10000000	3.9000000000000004	8.99309466843038
2	1	-1	10	-10000000	4.5	8.939266185199486
2	1	-1	10	-10000000	5	8.891238521428347
2	1	-1	10	-10000000	5.5	8.837777901911563
2	1	-1	10	-10000000	6	8.777972605374561
2	1	-1	10	-10000000	6.5	8.711920931305578
2	1	-1	10	-10000000	7	8.640402777186207
2	1	-1	10	-10000000	7.5	8.56457270460002
2	1	-1	10	-10000000	8	8.485625219002232
2	1	-1	10	-10000000	8.5	8.404414556690044
2	1	-1	10	-10000000	9	8.321196368839042
2	1	-1	10	-10000000	9.5	8.235636279952454
2	1	-1	10	-10000000	10	8.147054393804966
2	1	-1	10	-10000000	10.5	8.054715845874803
2	1	-1	10	-10000000	11	7.958030280225321
2	1	-1	10	-10000000	11.5	7.856640086230505
2	1	-1	10	-10000000	12	7.750438028672793
2	1	-1	10	-5000000	0.1	9.319647106960886
2	1	-1	10	-5000000	0.30000000000000004	9.410074345012486
2	1	-1	10	-5000000	0.5	9.462780909592809
2	1	-1	10	-5000000	0.7000000000000001	9.47140169527186
2	1	-1	10	-5000000	0.9	9.44435013750055
2	1	-1	10	-5000000	1.1	9.39585878165783
2	1	-1	10	-5000000	1.3000000000000003	9.338060274056694
2	1	-1	10	-5000000	1.5000000000000002	9.278689693352339
2	1	-1	10	-5000000	1.7000000000000002	9.221959453282647
2	1	-1	10	-5000000	1.9000000000000001	9.169883825311691
2	1	-1	10	-5000000	2.1	9.12323258478814
2	1	-1	10	-5000000	2.3000000000000003	9.082097759487228
2	1	-1	10	-5000000	2.5000000000000004	9.046214325713393
2	1	-1	10	-5000000	2.7	9.015141575474356
2	1	-1	10	-5000000	2.9000000000000004	8.988366140689518
2	1	-1	10	-5000000	3.1	8.965359785766742
2	1	-1	10	-5000000	3.3000000000000003	8.945610502387849
2	1	-1	10	-5000000	3.5000000000000004	8.92863760715692
2	1	-1	10	-5000000	3.7	8.913997457639205
2	1	-1	10	-5000000	3.9000000000000004	8.90128383228921
2	1	-1	10	-5000000	4.5	8.871142725198228
2	1	-1	10	-5000000	5	8.850656158878326
2	1	-1	10	-5000000	5.5	8.830116122864432
2	1	-1	10	-5000000	6	8.80627093184085
2	1	-1	10	-5000000	6.5	8.77657539170921
2	1	-1	10	-5000000	7	8.739277825790136
2	1	-1	10	-5000000	7.5	8.693567621309398
2	1	-1	10	-5000000	8	8.639727611534212
2	1	-1	10	-5000000	8.5	8.579082988934731
2	1	-1	10	-5000000	9	8.513552005136559
2	1	-1	10	-5000000	9.5	8.444882067474323
2	1	-1	10	-5000000	10	8.374123992507371
2	1	-1	10	-5000000	10.5	8.301594405392901
2	1	-1	10	-5000000	11	8.227133540166339
2	1	-1	10	-5000000	11.5	8.150373929163433
2	1	-1	10	-5000000	12	8.07091205499516
2	1	-1	10	0	0.1	9.465225630926662
2	1	-1	10	0	0.30000000000000004	9.447868457025812
2	1	-1	10	0	0.5	9.417305963701034
2	1	-1	10	0	0.7000000000000001	9.374848185524737
2	1	-1	10	0	0.9	9.323256613882338
2	1	-1	10	0	1.1	9.26570611784765
2	1	-1	10	0	1.3000000000000003	9.205256527643064
2	1	-1	10	0	1.5000000000000002	9.144484734596539
2	1	-1	10	0	1.7000000000000002	9.085302093897795
2	1	-1	10	0	1.9000000000000001	9.028980978713776
2	1	-1	10	0	2.1	8.976245002482422
2	1	-1	10	0	2.3000000000000003	8.92740487021406
2	1	-1	10	0	2.5000000000000004	8.882486274710663
2	1	-1	10	0	2.7	8.841334468384833
2	1	-1	10	0	2.9000000000000004	8.80369261811958
2	1	-1	10	0	3.1	8.769258335313692
2	1	-1	10	0	3.3000000000000003	8.737714657369175
2	1	-1	10	0	3.5000000000000004	8.708755352962369
2	1	-1	10	0	3.7	8.682095383255897
2	1	-1	10	0	3.9000000000000004	8.657476582621914
2	1	-1	10	0	4.5	8.593708821420991
2	1	-1	10	0	5	8.549627565116406
2	1	-1	10	0	5.5	8.511759194890681
2	1	-1	10	0	6	8.47883334545278
2	1	-1	10	0	6.5	8.449987961791125
2	1	-1	10	0	7	8.42463912058525
2	1	-1	10	0	7.5	8.402393671411259
2	1	-1	10	0	8	8.38298897721742
2	1	-1	10	0	8.5	8.366249985710146
2	1	-1	10	0	9	8.35205304267153
2	1	-1	10	0	9.5	8.340307623745941
