lambh	lambe	m	B0	E0	h1	Integration 1 (meV)
1	2	-1	0	-10000000	0.1	5.918907583549268
1	2	-1	0	-10000000	0.30000000000000004	5.920232318887048
1	2	-1	0	-10000000	0.5	5.940437620791777
1	2	-1	0	-10000000	0.7000000000000001	5.989046063990509
1	2	-1	0	-10000000	0.9	6.067313153911936
1	2	-1	0	-10000000	1.1	6.1432736767910665
1	2	-1	0	-10000000	1.3000000000000003	6.1687306490383484
1	2	-1	0	-10000000	1.5000000000000002	6.150018306193538
1	2	-1	0	-10000000	1.7000000000000002	6.116767370214353
1	2	-1	0	-10000000	1.9000000000000001	6.0827505934699655
1	2	-1	0	-10000000	2.1	6.0516856817143205
1	2	-1	0	-10000000	2.3000000000000003	6.024192429441344
1	2	-1	0	-10000000	2.5000000000000004	6.0000769967074294
1	2	-1	0	-10000000	2.7	5.978986812330758
1	2	-1	0	-10000000	2.9000000000000004	5.960536834053911
1	2	-1	0	-10000000	3.1	5.944371303871901
1	2	-1	0	-10000000	3.3000000000000003	5.930175154753858
1	2	-1	0	-10000000	3.5000000000000004	5.917670989388384
1	2	-1	0	-10000000	3.7	5.906622010994951
1	2	-1	0	-10000000	3.9000000000000004	5.896819466464082
1	2	-1	0	-10000000	4.5	5.873250477331229
1	2	-1	0	-10000000	5	5.858466157187126
1	2	-1	0	-10000000	5.5	5.846655155202771
1	2	-1	0	-10000000	6	5.8369320596089
1	2	-1	0	-10000000	6.5	5.828703649190949
1	2	-1	0	-10000000	7	5.821576388013071
1	2	-1	0	-10000000	7.5	5.8152959346176605
1	2	-1	0	-10000000	8	5.80970738008438
1	2	-1	0	-10000000	8.5	5.804728005657537
1	2	-1	0	-10000000	9	5.800327261558888
1	2	-1	0	-10000000	9.5	5.796510480372755
1	2	-1	0	-10000000	10	5.793304276848022
1	2	-1	0	-10000000	10.5	5.790742488546763
1	2	-1	0	-10000000	11	5.788857699993954
1	2	-1	0	-10000000	11.5	5.787646829098885
1	2	-1	0	-10000000	12	5.787106423247072
1	2	-1	0	-5000000	0.1	6.380549128674831
1	2	-1	0	-5000000	0.30000000000000004	6.3621907362817876
1	2	-1	0	-5000000	0.5	6.332677904224882
1	2	-1	0	-5000000	0.7000000000000001	6.2943098601269725
1	2	-1	0	-5000000	0.9	6.251469854037224
1	2	-1	0	-5000000	1.1	6.208101030541877
1	2	-1	0	-5000000	1.3000000000000003	6.166582252428242
1	2	-1	0	-5000000	1.5000000000000002	6.1281022796106805
1	2	-1	0	-5000000	1.7000000000000002	6.09308087223924
1	2	-1	0	-5000000	1.9000000000000001	6.061589187658255
1	2	-1	0	-5000000	2.1	6.03348492942991
1	2	-1	0	-5000000	2.3000000000000003	6.008561142835563
1	2	-1	0	-5000000	2.5000000000000004	5.986568947417499
1	2	-1	0	-5000000	2.7	5.967197795581472
1	2	-1	0	-5000000	2.9000000000000004	5.950164637009573
1	2	-1	0	-5000000	3.1	5.935189728310744
1	2	-1	0	-5000000	3.3000000000000003	5.922012791883749
1	2	-1	0	-5000000	3.5000000000000004	5.910400485660935
1	2	-1	0	-5000000	3.7	5.90014518168091
1	2	-1	0	-5000000	3.9000000000000004	5.89106587166966
1	2	-1	0	-5000000	4.5	5.869453394099062
1	2	-1	0	-5000000	5	5.856200629934559
1	2	-1	0	-5000000	5.5	5.845957405097505
1	2	-1	0	-5000000	6	5.837907477018524
1	2	-1	0	-5000000	6.5	5.831498069663365
1	2	-1	0	-5000000	7	5.8263500672823465
1	2	-1	0	-5000000	7.5	5.822202446321728
1	2	-1	0	-5000000	8	5.81887118305301
1	2	-1	0	-5000000	8.5	5.816219767163199
1	2	-1	0	-5000000	9	5.814149086635179
1	2	-1	0	-5000000	9.5	5.812576807354018
1	2	-1	0	-5000000	10	5.811434619503702
1	2	-1	0	-5000000	10.5	5.810660904904385
1	2	-1	0	-5000000	11	5.810199807836312
1	2	-1	0	-5000000	11.5	5.809996237016714
1	2	-1	0	-5000000	12	5.809998795873
1	2	-1	0	0	0.1	6.369542082725903
1	2	-1	0	0	0.30000000000000004	6.3322156977329005
1	2	-1	0	0	0.5	6.292962300909963
1	2	-1	0	0	0.7000000000000001	6.252963006628895
1	2	-1	0	0	0.9	6.21322630228574
1	2	-1	0	0	1.1	6.174614495493354
1	2	-1	0	0	1.3000000000000003	6.137817395150259
1	2	-1	0	0	1.5000000000000002	6.103370662362784
1	2	-1	0	0	1.7000000000000002	6.071594050055293
1	2	-1	0	0	1.9000000000000001	6.042719518538672
1	2	-1	0	0	2.1	6.016691985961939
1	2	-1	0	0	2.3000000000000003	5.993520759013971
1	2	-1	0	0	2.5000000000000004	5.972931175575944
1	2	-1	0	0	2.7	5.954718602265364
1	2	-1	0	0	2.9000000000000004	5.9387099589389845
1	2	-1	0	0	3.1	5.924646504145777
1	2	-1	0	0	3.3000000000000003	5.9122593583836
1	2	-1	0	0	3.5000000000000004	5.901346594761836
1	2	-1	0	0	3.7	5.891725325594457
1	2	-1	0	0	3.9000000000000004	5.883228033443581
1	2	-1	0	0	4.5	5.863214944902734
1	2	-1	0	0	5	5.851194429778731
1	2	-1	0	0	5.5	5.842102808342347
1	2	-1	0	0	6	5.835179740981355
1	2	-1	0	0	6.5	5.829868422090356
1	2	-1	0	0	7	5.825759072156158
1	2	-1	0	0	7.5	5.822588316954109
1	2	-1	0	0	8	5.820120006414306
1	2	-1	0	0	8.5	5.818189733239892
1	2	-1	0	0	9	5.816672880953026
1	2	-1	0	0	9.5	5.815460800252776
1	2	-1	0	0	10	5.814470209270046
1	2	-1	0	0	10.5	5.813626126499796
1	2	-1	0	0	11	5.812881136862277
1	2	-1	0	0	11.5	5.812178069183506
1	2	-1	0	0	12	5.811469882931584
1	2	-1	0	5000000	0.1	6.2207547241661265
1	2	-1	0	5000000	0.30000000000000004	6.2249154106699764
1	2	-1	0	5000000	0.5	6.215002628884577
1	2	-1	0	5000000	0.7000000000000001	6.194615472952375
1	2	-1	0	5000000	0.9	6.167533413942299
1	2	-1	0	5000000	1.1	6.137046071143529
1	2	-1	0	5000000	1.3000000000000003	6.105452591719716
1	2	-1	0	5000000	1.5000000000000002	6.074382996573637
1	2	-1	0	5000000	1.7000000000000002	6.044957566027416
1	2	-1	0	5000000	1.9000000000000001	6.017657863523405
1	2	-1	0	5000000	2.1	5.992884860055691
1	2	-1	0	5000000	2.3000000000000003	5.970653176103097
1	2	-1	0	5000000	2.5000000000000004	5.950825607423444
1	2	-1	0	5000000	2.7	5.933144268281716
1	2	-1	0	5000000	2.9000000000000004	5.91756994427925
1	2	-1	0	5000000	3.1	5.903921173623356
1	2	-1	0	5000000	3.3000000000000003	5.892043068922551
1	2	-1	0	5000000	3.5000000000000004	5.8814828940594035
1	2	-1	0	5000000	3.7	5.872201359586859
1	2	-1	0	5000000	3.9000000000000004	5.864020195776481
1	2	-1	0	5000000	4.5	5.844778401863761
1	2	-1	0	5000000	5	5.833346989942057
1	2	-1	0	5000000	5.5	5.8248819138961565
1	2	-1	0	5000000	6	5.818603190645618
1	2	-1	0	5000000	6.5	5.814019066531693
1	2	-1	0	5000000	7	5.810738265345678
1	2	-1	0	5000000	7.5	5.808407873159086
1	2	-1	0	5000000	8	5.806839019073376
1	2	-1	0	5000000	8.5	5.805854949977945
1	2	-1	0	5000000	9	5.8053141866933915
1	2	-1	0	5000000	9.5	5.805104069163198
1	2	-1	0	5000000	10	5.805136360904147
1	2	-1	0	5000000	10.5	5.805343677343127
1	2	-1	0	5000000	11	5.80579743015481
1	2	-1	0	5000000	11.5	5.80609708871616
1	2	-1	0	5000000	12	5.806580225063642
1	2	-1	0	10000000	0.1	5.809796992182756
1	2	-1	0	10000000	0.30000000000000004	5.884009050500143
1	2	-1	0	10000000	0.5	5.966793646559181
1	2	-1	0	10000000	0.7000000000000001	6.0339266740920525
1	2	-1	0	10000000	0.9	6.066801372714723
1	2	-1	0	10000000	1.1	6.068572548926509
1	2	-1	0	10000000	1.3000000000000003	6.0521632130481695
1	2	-1	0	10000000	1.5000000000000002	6.027615297563077
1	2	-1	0	10000000	1.7000000000000002	6.000474607808841
1	2	-1	0	10000000	1.9000000000000001	5.973425944797431
1	2	-1	0	10000000	2.1	5.9476993776199985
1	2	-1	0	10000000	2.3000000000000003	5.923787605842862
1	2	-1	0	10000000	2.5000000000000004	5.901814002773533
