% m,B0,E0,h1,Integration_1_meV
-1,0,5000000,12,3.9951310510054077
-1,0,10000000,0.1,4.130103070128924
-1,0,10000000,0.30000000000000004,4.144301846411142
-1,0,10000000,0.5,4.15780207778094
-1,0,10000000,0.7000000000000001,4.165192303525247
-1,0,10000000,0.9,4.1634727046394095
-1,0,10000000,1.1,4.154478851269989
-1,0,10000000,1.3000000000000003,4.141655423277193
-1,0,10000000,1.5000000000000002,4.127493793293301
-1,0,10000000,1.7000000000000002,4.113351845162295
-1,0,10000000,1.9000000000000001,4.09989763323785
-1,0,10000000,2.1,4.08743141831727
-1,0,10000000,2.3000000000000003,4.076056827625875
-1,0,10000000,2.5000000000000004,4.065769737735887
-1,0,10000000,2.7,4.056507414230871
-1,0,10000000,2.9000000000000004,4.048176744330124
-1,0,10000000,3.1,4.0406724488483885
-1,0,10000000,3.3000000000000003,4.033886379626798
-1,0,10000000,3.5000000000000004,4.02771332403203
-1,0,10000000,3.7,4.022054664679566
-1,0,10000000,3.9000000000000004,4.016818624996731
-1,0,10000000,4.5,4.0028336053675
-1,0,10000000,5,3.9920985287667894
-1,0,10000000,5.5,3.9811539438719437
-1,0,10000000,6,3.969104987001809
-1,0,10000000,6.5,3.955153727726003
-1,0,10000000,7,3.938755482794364
-1,0,10000000,7.5,3.9198725298419173
-1,0,10000000,8,3.899078859326167
-1,0,10000000,8.5,3.877261553762662
-1,0,10000000,9,3.8551187017443587
-1,0,10000000,9.5,3.8329203498039077
-1,0,10000000,10,3.8106130438733055
-1,0,10000000,10.5,3.7880194890026013
-1,0,10000000,11,3.7649684361539815
-1,0,10000000,11.5,3.7413439773091177
-1,0,10000000,12,3.717091003050294
-1,5,-10000000,0.1,6.177457065320392
-1,5,-10000000,0.30000000000000004,6.1597613998216545
-1,5,-10000000,0.5,6.14662677790345
-1,5,-10000000,0.7000000000000001,6.137107401143494
-1,5,-10000000,0.9,6.120846818528644
-1,5,-10000000,1.1,6.07755811803865
-1,5,-10000000,1.3000000000000003,6.008371235372387
-1,5,-10000000,1.5000000000000002,5.938909414441257
-1,5,-10000000,1.7000000000000002,5.880542580997109
-1,5,-10000000,1.9000000000000001,5.832449004019166
-1,5,-10000000,2.1,5.792148434384961
-1,5,-10000000,2.3000000000000003,5.757852323037983
-1,5,-10000000,2.5000000000000004,5.728382919367211
-1,5,-10000000,2.7,5.70291443455641
-1,5,-10000000,2.9000000000000004,5.680820249277095
-1,5,-10000000,3.1,5.661597053285894
-1,5,-10000000,3.3000000000000003,5.644827157329379
-1,5,-10000000,3.5000000000000004,5.630158331392325
-1,5,-10000000,3.7,5.6172914876154945
-1,5,-10000000,3.9000000000000004,5.6059720425623185
-1,5,-10000000,4.5,5.5792859883012715
-1,5,-10000000,5,5.563145077710743
-1,5,-10000000,5.5,5.5507919790944324
-1,5,-10000000,6,5.541144727334864
-1,5,-10000000,6.5,5.5334734403455395
-1,5,-10000000,7,5.52728680248259
-1,5,-10000000,7.5,5.522258517082348
-1,5,-10000000,8,5.518179145958755
-1,5,-10000000,8.5,5.5149237089688485
-1,5,-10000000,9,5.512428776765151
